TEST_ID,test_step_name,test_Step_Expected_result,test_step_Actual_result
4,Step 1,The Job Plans page should be displayed with the focus on the Job plan field of the List tab.,"The Job Plans page is displayed with the focus on the Job plan field of the List tab.

Actor: SAMS_COOR (TSACD_GU)

  [User: a3k7kzz]"
4,Step 2,"The Job Plan tab should be highlighted and the new ""Job Plans"" screen should be displayed.","The Job Plan tab is highlighted and the new ""Job Plans"" screen is displayed.
 

  [User: a3k7kzz]"
4,Step 3,"The following fields should be displayed in the 1st section of the Job Plans page

1.Job Plan - required field 
2.Short description - text box(required field)
3.Organization - Value list(defaulted)
4.Site - Value list(defaulted)
5.Attachments","The following fields are displayed in the 1st section of the Job Plans page

1.Job Plan - required field 
2.Short description - text box(required field)
3.Organization - Value list(defaulted)
4.Site - Value list(defaulted)
5.Attachments



  [User: a3k7kzz]"
4,Step 4,"The following sections should be displayed in Asset page:

1.Details
2.Job Plan Tasks","The following sections are displayed in Asset page:

1.Details
2.Job Plan Tasks



  [User: a3k7kzz]"
4,Step 5,A new row should be displayed and all the required details should be displayed below.,"A new row is displayed and all the required details are displayed below.

  [User: a3k7kzz]"
4,Step 6,"The following should be displayed as required fields in the Job plan task section:

1.Task
2.Task description
3.Duration","The following are displayed as required fields in the Job plan task section:

1.Task
2.Task description
3.Duration



  [User: a3k7kzz]"
4,Step 7,The WO Category description field should be displayed in the Job details page.,"The WO Category description field is displayed in the Job details page.

  [User: a3k7kzz]"
5,Step 1,The Job Plans page should be displayed with the focus on the Job plan field of the List tab.,"The Job Plans page is displayed with the focus on the Job plan field of the List tab.

Actor: PLANNER (TPLNR_GU)

  [User: a3k7kzz]"
5,Step 2,"The Job Plan tab should be highlighted and the new ""Job Plans"" screen should be displayed.","The Job Plan tab is highlighted and the new ""Job Plans"" screen is displayed.
 

  [User: a3k7kzz]"
5,Step 3,"The following 3M Additional fields should be displayed in the Assets page:

1.Last Update - Calendar icon
2.Downtime? - checkbox
3.WO Category - Value list","The following 3M Additional fields are displayed in the Assets page:

1.Last Update - Calendar icon
2.Downtime? - checkbox
3.WO Category - Value list



  [User: a3k7kzz]"
5,Step 4,"The properties of the field ""Last Update"" should be as follows and user should be displayed with an error message if values does not match these criteria:

   a.Type - Date in MM/DD/YYYY format
   b.Max Length - 10","The properties of the field ""Last Update"" are as follows and user is displayed with an error message if values does not match these criteria:

a.Type - Date in MM/DD/YYYY format
b.Max Length 
 
Note: As per project team comments, length of the last update field is not limited to 10 since it is a date field

  [User: a3k7kzz]"
5,Step 5,"The properties of the field ""WO Category"" should be as follows and user should be displayed with an error message if values does not match these criteria:

   a.Max. Length - 2
   b.Type - Alphanumeric","The properties of the field ""WO Category"" are as follows and user is displayed with an error message if values does not match these criteria:

a.Max. Length - 2
b.Type - Alphanumeric

  [User: a3k7kzz]"
5,Step 1,The Job Plans page should be displayed with the focus on the Job plan field of the List tab.,"The Job Plans page is displayed with the focus on the Job plan field of the List tab.

Actor: MSUPV_ALL (TSUPV_GU)

  [User: a3k7kzz]"
5,Step 2,"The Job Plan tab should be highlighted and the new ""Job Plans"" screen should be displayed.","The Job Plan tab is highlighted and the new ""Job Plans"" screen is displayed.
 

  [User: a3k7kzz]"
5,Step 3,"The following 3M Additional fields should be displayed in the Assets page:

1.Last Update - Calendar icon
2.Downtime? - checkbox
3.WO Category - Value list","The following 3M Additional fields are displayed in the Assets page:

1.Last Update - Calendar icon
2.Downtime? - checkbox
3.WO Category - Value list



  [User: a3k7kzz]"
5,Step 4,"The properties of the field ""Last Update"" should be as follows and user should be displayed with an error message if values does not match these criteria:

   a.Type - Date in MM/DD/YYYY format
   b.Max Length - 10","The properties of the field ""Last Update"" are as follows and user is displayed with an error message if values does not match these criteria:

a.Type - Date in MM/DD/YYYY format
b.Max Length

Note: As per project team comments, the length of the last update field is not limited to 10 since it is a date field

  [User: a3k7kzz]"
5,Step 5,"The properties of the field ""WO Category"" should be as follows and user should be displayed with an error message if values does not match these criteria:

   a.Max. Length - 2
   b.Type - Alphanumeric","The properties of the field ""WO Category"" are as follows and user is displayed with an error message if values does not match these criteria:

a.Max. Length - 2
b.Type - Alphanumeric

  [User: a3k7kzz]"
5,Step 1,The Job Plans page should be displayed with the focus on the Job plan field of the List tab.,"The Job Plans page is displayed with the focus on the Job plan field of the List tab.

Actor: SAMS_COOR (TSACD_GU)

  [User: a3k7kzz]"
5,Step 2,"The Job Plan tab should be highlighted and the new ""Job Plans"" screen should be displayed.","The Job Plan tab is highlighted and the new ""Job Plans"" screen is displayed.
 

  [User: a3k7kzz]"
5,Step 3,"The following 3M Additional fields should be displayed in the Assets page:

1.Last Update - Calendar icon
2.Downtime? - checkbox
3.WO Category - Value list","The following 3M Additional fields are displayed in the Assets page:

1.Last Update - Calendar icon
2.Downtime? - checkbox
3.WO Category - Value list



  [User: a3k7kzz]"
5,Step 4,"The properties of the field ""Last Update"" should be as follows and user should be displayed with an error message if values does not match these criteria:

   a.Type - Date in MM/DD/YYYY format
   b.Max Length - 10","The properties of the field ""Last Update"" are as follows and user is displayed with an error message if values does not match these criteria:

a.Type - Date in MM/DD/YYYY format
b.Max Length
 
Note: As per Project team comments, the length of the field is not limited to 10 since it is a date field

  [User: a3k7kzz]"
5,Step 5,"The properties of the field ""WO Category"" should be as follows and user should be displayed with an error message if values does not match these criteria:

   a.Max. Length - 2
   b.Type - Alphanumeric","The properties of the field ""WO Category"" are as follows and user is displayed with an error message if values does not match these criteria:

a.Max. Length - 2
b.Type - Alphanumeric

  [User: a3k7kzz]"
6,Step 1,The Job Plans page should be displayed with the focus on the Job plan field of the List tab.,"The Job Plans page is displayed with the focus on the Job plan field of the List tab.

Actor: PLANNER (TPLNR_GU)

  [User: a3k7kzz]"
6,Step 2,System should display the corresponding Job plan in the list tab section.,"System displays the corresponding Job plan in the list tab section.

  [User: a3k7kzz]"
6,Step 3,System should navigate the user to the Job Plan tab with detailed information of the Job plan.,"System navigates the user to the Job Plan tab with detailed information of the Job plan.
 

  [User: a3k7kzz]"
6,Step 4,"A new Job Plan should be created.

(i) The ""Job Plan"" field should be blank.
(ii) The fields other than ""Job Plan"" should display the values as noted in the ""Job Plan"" record mentioned in precondition 3.","A new Job Plan is created.

(i) The ""Job Plan"" field is blank.
(ii) The fields other than ""Job Plan"" displays the values as noted in the ""Job Plan"" record mentioned in precondition 3.



  [User: a3k7kzz]"
6,Step 1,The Job Plans page should be displayed with the focus on the Job plan field of the List tab.,"The Job Plans page is displayed with the focus on the Job plan field of the List tab.

Actor: MSUPV_ALL (TSUPV_GU)

  [User: a3k7kzz]"
6,Step 2,System should display the corresponding Job plan in the list tab section.,"System displays the corresponding Job plan in the list tab section.

  [User: a3k7kzz]"
6,Step 3,System should navigate the user to the Job Plan tab with detailed information of the Job plan.,"System navigates the user to the Job Plan tab with detailed information of the Job plan.
 

  [User: a3k7kzz]"
6,Step 4,"A new Job Plan should be created.

(i) The ""Job Plan"" field should be blank.
(ii) The fields other than ""Job Plan"" should display the values as noted in the ""Job Plan"" record mentioned in precondition 3.","A new Job Plan is created.

(i) The ""Job Plan"" field is blank.
(ii) The fields other than ""Job Plan"" displays the values as noted in the ""Job Plan"" record mentioned in precondition 3.



  [User: a3k7kzz]"
6,Step 1,The Job Plans page should be displayed with the focus on the Job plan field of the List tab.,"The Job Plans page is displayed with the focus on the Job plan field of the List tab.
 
Actor: SAMS_COOR (TSACD_GU)

  [User: a3k7kzz]"
6,Step 2,System should display the corresponding Job plan in the list tab section.,"System displays the corresponding Job plan in the list tab section.

  [User: a3k7kzz]"
6,Step 3,System should navigate the user to the Job Plan tab with detailed information of the Job plan.,"System navigates the user to the Job Plan tab with detailed information of the Job plan.
 

  [User: a3k7kzz]"
6,Step 4,"A new Job Plan should be created.

(i) The ""Job Plan"" field should be blank.
(ii) The fields other than ""Job Plan"" should display the values as noted in the ""Job Plan"" record mentioned in precondition 3.","A new Job Plan is created.

(i) The ""Job Plan"" field is blank.
(ii) The fields other than ""Job Plan"" displays the values as noted in the ""Job Plan"" record mentioned in precondition 3.



  [User: a3k7kzz]"
7,Step 1,The Labor page should be displayed with the focus on the List tab.,"The Labor page is displayed with the focus on the List tab.

Actor: SAMS_COOR (TSACD_GU)

  [User: a3k7kzz]"
7,Step 2,"The Labor tab should be highlighted and the new ""Labor"" screen should be displayed.","The Labor tab is highlighted and the new ""Labor"" screen is displayed.
 

  [User: a3k7kzz]"
7,Step 3,"The following fields should be displayed in the 1st column of the Labor page:

1.Labor
2.Person - Detail menu(Required field)
3.Worksite - Value list
4.Work Location - Detail menu
5.Labor Inventory Site - Value list
6.Labor Inventory Location - Detail menu","The following fields are displayed in the 1st column of the Labor page:

1.Labor
2.Person - Detail menu(Required field)
3.Worksite - Value list
4.Work Location - Detail menu
5.Labor Inventory Site - Value list
6.Labor Inventory Location - Detail menu



  [User: a3k7kzz]"
7,Step 4,"The following fields should be displayed in the 2nd column of the Labor page:

1.Organization - Value List
2.Status
3.Worktype - Value List
4.Crew-Value List
5.Supervisor - Detail menu
6.Payroll Sub Acct - Value list","The following fields are displayed in the 2nd column of the Labor page:

1.Organization - Value List
2.Status
3.Worktype - Value List
4.Crew-Value List
5.Supervisor - Detail menu
6.Payroll Sub Acct - Value list



  [User: a3k7kzz]"
7,Step 1,The Labor page should be displayed with the focus on the List tab.,"The Labor page is displayed with the focus on the List tab.

Actor: RESOURCES (TRSRC_GU)



  [User: a3k7kzz]"
7,Step 2,"The Labor tab should be highlighted and the new ""Labor"" screen should be displayed.","The Labor tab is highlighted and the new ""Labor"" screen is displayed.
 

  [User: a3k7kzz]"
7,Step 3,"The following fields should be displayed in the 1st column of the Labor page:

1.Labor
2.Person - Detail menu(Required field)
3.Worksite - Value list
4.Work Location - Detail menu
5.Labor Inventory Site - Value list
6.Labor Inventory Location - Detail menu","The following fields are displayed in the 1st column of the Labor page:

1.Labor
2.Person - Detail menu(Required field)
3.Worksite - Value list
4.Work Location - Detail menu
5.Labor Inventory Site - Value list
6.Labor Inventory Location - Detail menu



  [User: a3k7kzz]"
7,Step 4,"The following fields should be displayed in the 2nd column of the Labor page:

1.Organization - Value List
2.Status
3.Worktype - Value List
4.Crew-Value List
5.Supervisor - Detail menu
6.Payroll Sub Acct - Value list","The following fields are displayed in the 2nd column of the Labor page:

1.Organization - Value List
2.Status
3.Worktype - Value List
4.Crew-Value List
5.Supervisor - Detail menu
6.Payroll Sub Acct - Value list 

  [User: a3k7kzz]"
8,Step 1,The Labor page should be displayed with the focus on the List tab.,"The Labor page is displayed with the focus on the List tab.
 
Actor: SAMS_COOR (TSACD_GU)

  [User: a3k7kzz]"
8,Step 2,The Labor tab should be highlighted and the new labor screen should be displayed.,"The Labor tab is highlighted and the new labor screen is displayed.

  [User: a3k7kzz]"
8,Step 3,"The following 3M Additional fields should be displayed in the Labors page:

1.Payroll Sub Acct - Value list","The following 3M Additional field is displayed in the Labors page:

1.Payroll Sub Acct - Value list



  [User: a3k7kzz]"
8,Step 4,"The properties of the field ""Payroll Sub Acct"" should be as follows :

   a.Max. Length - 3
   b.Type - Alphanumeric","The properties of the field ""Payroll Sub Acct"" are as follows :

a.Max. Length - 3
b.Type - Alphanumeric



  [User: a3k7kzz]"
8,Step 5,System should not allow the user to enter more than 3 characters.,"System did not allow the user to enter more than 3 characters.

  [User: a3k7kzz]"
8,Step 1,The Labor page should be displayed with the focus on the List tab.,"The Labor page is displayed with the focus on the List tab.

Actor: RESOURCES (TRSRC_GU)



  [User: a3k7kzz]"
8,Step 2,The Labor tab should be highlighted and the new labor screen should be displayed.,"The Labor tab is highlighted and the new labor screen is displayed.

  [User: a3k7kzz]"
8,Step 3,"The following 3M Additional fields should be displayed in the Labors page:

1.Payroll Sub Acct - Value list","The following 3M Additional field is displayed in the Labors page:

1.Payroll Sub Acct - Value list



  [User: a3k7kzz]"
8,Step 4,"The properties of the field ""Payroll Sub Acct"" should be as follows :

   a.Max. Length - 3
   b.Type - Alphanumeric","The properties of the field ""Payroll Sub Acct"" are as follows :

a.Max. Length - 3
b.Type - Alphanumeric



  [User: a3k7kzz]"
8,Step 5,System should not allow the user to enter more than 3 characters.,"System did not allow the user to enter more than 3 characters.

  [User: a3k7kzz]"
9,Step 1,The Labor page should be displayed with the focus on the List tab.,"The Labor page is displayed with the focus on the List tab.

Actor: SAMS_COOR (TSACD_GU)



  [User: a3k7kzz]"
9,Step 2,System should display the corresponding labor in the list tab section.,"System displays the corresponding labor in the list tab section.

  [User: a3k7kzz]"
9,Step 3,System should navigate the user to the Labor tab with detailed information of the Labor.,"System navigates the user to the Labor tab with detailed information of the Labor.
 

  [User: a3k7kzz]"
9,Step 4,"A new Labor record should be created.

(i) The ""Labor"" and ""Person"" field should be blank.
(ii) The fields other than ""Labor"" and ""Person"" should display the values as noted in the ""Labor"" record noted in precondition 3.","A new Labor record is created.

(i) The ""Labor"" and ""Person"" fields are blank.
(ii) The fields other than ""Labor"" and ""Person"" displays the values as noted in the ""Labor"" record noted in precondition 3.

  [User: a3k7kzz]"
9,Step 1,The Labor page should be displayed with the focus on the List tab.,"The Labor page is displayed with the focus on the List tab.

Actor: RESOURCES (TRSRC_GU)



  [User: a3k7kzz]"
9,Step 2,System should display the corresponding labor in the list tab section.,"System displays the corresponding labor in the list tab section.

  [User: a3k7kzz]"
9,Step 3,System should navigate the user to the Labor tab with detailed information of the Labor.,"System navigates the user to the Labor tab with detailed information of the Labor.
 

  [User: a3k7kzz]"
9,Step 4,"A new Labor record should be created.

(i) The ""Labor"" and ""Person"" field should be blank.
(ii) The fields other than ""Labor"" and ""Person"" should display the values as noted in the ""Labor"" record noted in precondition 3.","A new Labor record is created.

(i) The ""Labor"" and ""Person"" fields are blank.
(ii) The fields other than ""Labor"" and ""Person"" displays the values as noted in the ""Labor"" record noted in precondition 3.

Note: As per Dev team comments, personal information sessions will not be duplicated.

  [User: a3k7kzz]"
10,Step 1,The Location page should be displayed with the focus on the List tab.,"The Location page is displayed with the focus on the List tab.

Actor: LOC_ASSET (TLOCA_GU)

  [User: a3k7kzz]"
10,Step 2,"The Location tab should be highlighted and the new ""Locations"" screen should be displayed with the following sections:

1.Location details with fields
2.Systems
3.Parents in the system
4.Children in the system","The Location tab is highlighted and the new ""Locations"" screen is displayed with the following sections:

1.Location details with fields
2.Systems
3.Parents in the system
4.Children in the system



  [User: a3k7kzz]"
10,Step 3,"The following fields should be displayed in the 
1st column of the Location page:

1.Location and its short description
2.Type - Value list
3.Rotating Item - Detail menu with a disabled short 
description text box
4.Meter Group - Detail menu with a disabled short 
description text box
5.Calender - Value list
6.Shift - Value list","The following fields are displayed in the 1st column of the Location page:

1.Location and its short description
2.Type - Value list
3.Rotating Item - Detail menu with a disabled short description text box
4.Meter Group - Detail menu with a disabled short description text box
5.Calender - Value list
6.Shift - Value list 

  [User: a3k7kzz]"
10,Step 4,"The following fields should be displayed in the 2nd column of the Location page:

1.Site
2.Loc Structure - Value list
3.Priortiy
4.Failure Class - Detail menu
5.GL Account - Value list
6.Internal Labor Account - Value list
7.ProdWC","The following fields are displayed in the 2nd column of the Location page:

1.Site
2.Loc Structure - Value list
3.Priortiy
4.Failure Class - Detail menu
5.GL Account - Value list
6.Internal Labor Account - Value list
7.ProdWC



  [User: a3k7kzz]"
10,Step 5,"The following fields should be displayed in the 3rd column of the  Location page:

1.Attachments
2.Status
3.Address
4.Bill to Address - Value list
5.Ship to Address - Value list","The following fields are displayed in the 3rd column of the Location page:

1.Attachments
2.Status
3.Address
4.Bill to Address - Value list
5.Ship to Address - Value list



  [User: a3k7kzz]"
10,Step 1,The Location page should be displayed with the focus on the List tab.,"The Location page is displayed with the focus on the List tab.

Actor: SAMS_COOR (TSACD_GU)

  [User: a3k7kzz]"
10,Step 2,"The Location tab should be highlighted and the new ""Locations"" screen should be displayed with the following sections:

1.Location details with fields
2.Systems
3.Parents in the system
4.Children in the system","The Location tab is highlighted and the new ""Locations"" screen is displayed with the following sections:

1.Location details with fields
2.Systems
3.Parents in the system
4.Children in the system



  [User: a3k7kzz]"
10,Step 3,"The following fields should be displayed in the 
1st column of the Location page:

1.Location and its short description
2.Type - Value list
3.Rotating Item - Detail menu with a disabled short 
description text box
4.Meter Group - Detail menu with a disabled short 
description text box
5.Calender - Value list
6.Shift - Value list","The following fields are displayed in the 1st column of the Location page:

1.Location and its short description
2.Type - Value list
3.Rotating Item - Detail menu with a disabled short description text box
4.Meter Group - Detail menu with a disabled short description text box
5.Calender - Value list
6.Shift - Value list 

  [User: a3k7kzz]"
10,Step 4,"The following fields should be displayed in the 2nd column of the Location page:

1.Site
2.Loc Structure - Value list
3.Priortiy
4.Failure Class - Detail menu
5.GL Account - Value list
6.Internal Labor Account - Value list
7.ProdWC","The following fields are displayed in the 2nd column of the Location page:

1.Site
2.Loc Structure - Value list
3.Priortiy
4.Failure Class - Detail menu
5.GL Account - Value list
6.Internal Labor Account - Value list
7.ProdWC



  [User: a3k7kzz]"
10,Step 5,"The following fields should be displayed in the 3rd column of the  Location page:

1.Attachments
2.Status
3.Address
4.Bill to Address - Value list
5.Ship to Address - Value list","The following fields are displayed in the 3rd column of the Location page:

1.Attachments
2.Status
3.Address
4.Bill to Address - Value list
5.Ship to Address - Value list



  [User: a3k7kzz]"
11,Step 1,The Location page should be displayed with the focus on the List tab.,"The Location page is displayed with the focus on the List tab.

Actor: LOC_ASSET (TLOCA_GU)

  [User: a3k7kzz]"
11,Step 2,"The Location tab should be highlighted and the new ""Location"" screen should be displayed with the following sections:

1.Location details with fields
2.Systems
3.Parents in the system
4.Children in the system","The Location tab is highlighted and the new ""Location"" screen is displayed with the following sections:

1.Location details with fields
2.Systems
3.Parents in the system
4.Children in the system

  [User: a3k7kzz]"
11,Step 3,"The following 3M Additional fields should be displayed in the Locations page:

1.Loc Structure - Value List
2.ProdWC - Text field
3.Ship to Address - Value List","The following 3M Additional fields are displayed in the Locations page:

1.Loc Structure - Value List
2.ProdWC - Text field
3.Ship to Address - Value List

  [User: a3k7kzz]"
11,Step 4,"The properties of the field ""Loc Structure"" should be as follows :

   a.Max. Length - 5
   b.Type - Alphanumeric","The properties of the field ""Loc Structure"" are as follows :

a.Max. Length - 5
b.Type - Alphanumeric

  [User: a3k7kzz]"
11,Step 5,System should not allow the user to enter more than 5 characters.,"System did not allow the user to enter more than 5 characters.
 

  [User: a3k7kzz]"
11,Step 6,The system should accept the special characters and error message should not be displayed.,"The system accepts the special characters and the error message is not displayed.
 

  [User: a3k7kzz]"
11,Step 7,"The properties of the field ""ProdWC"" should be as follows :

   a.Max. Length - 10
   b.Type - Alphanumeric","The properties of the field ""ProdWC"" are as follows :

a.Max. Length - 10
b.Type - Alphanumeric



  [User: a3k7kzz]"
11,Step 8,System should not allow the user to enter more than 10 characters.,"System did not allow the user to enter more than 10 characters.
 

  [User: a3k7kzz]"
11,Step 9,The system should accept the special characters and error message should not be displayed.,"The system accepts the special characters and the error message is not displayed.
 

  [User: a3k7kzz]"
11,Step 10,"The properties of the field ""Ship to Address"" should be as follows :

   a.Max. Length - 30
   b.Type - Alphanumeric","The properties of the field ""Ship to Address"" are as follows :

a.Max. Length - 30
b.Type - Alphanumeric



  [User: a3k7kzz]"
11,Step 11,System should not allow the user to enter more than 30 characters.,"System did not allow the user to enter more than 30 characters.
 

  [User: a3k7kzz]"
11,Step 12,The system should accept the special characters and error message should not be displayed.,"The system accepts the special characters and the error message is not displayed.

  [User: a3k7kzz]"
11,Step 1,The Location page should be displayed with the focus on the List tab.,"The Location page is displayed with the focus on the List tab.

Actor: SAMS_COOR (TSACD_GU)

  [User: a3k7kzz]"
